,Date,Route Type,Alpine,Rating,Safety,Avg Stars,Pitches,Lead Style,Attempts
143,53,2,0,18,1,2.4,1,1,1
144,96,2,0,15,1,2.1,1,1,1
145,97,2,0,8,1,3.5,1,1,1
146,98,2,0,8,1,2.5,1,3,1
147,91,2,0,29,1,2.6,1,1,1
148,66,2,0,29,1,2.6,1,1,1
149,38,2,0,5,1,3.4,1,1,1
150,48,2,0,16,1,1.8,1,3,1
151,99,2,0,18,1,2.6,1,4,2
152,99,2,0,5,1,3.1,1,4,2
153,100,2,0,7,1,3.6,1,4,2
154,67,2,0,9,1,3.9,1,4,1
155,65,2,0,9,1,3.2,1,1,1
156,100,2,0,8,1,2.6,1,1,1
157,101,2,0,14,1,2.5,1,4,1
158,102,1,0,28,1,3.2,1,1,1
159,103,2,0,9,1,3.4,1,4,5
160,104,2,0,7,1,3.5,1,4,2
161,105,2,0,13,1,2.9,1,4,3
162,106,2,0,20,1,3.1,1,1,1
163,107,2,0,15,1,2.9,1,1,1
164,108,2,0,15,1,2.3,1,1,1
165,107,2,0,20,1,2.7,1,4,1
166,109,2,0,17,1,2.8,1,3,1
167,110,2,0,5,1,2.9,1,4,2
168,65,2,0,4,1,3.0,1,1,1
169,111,2,0,20,1,2.7,1,3,1
170,112,1,0,5,1,3.9,1,4,1
171,111,2,0,5,1,2.5,1,4,1
172,113,2,0,20,1,2.4,1,3,1
173,114,2,0,23,1,2.6,1,3,1
174,115,2,0,5,1,3.4,1,4,2
175,116,2,0,13,1,2.9,1,4,1
176,117,2,0,9,1,2.9,1,4,3
177,110,2,0,13,1,3.1,1,1,1
178,108,2,0,20,1,3.8,1,4,1
179,118,2,0,20,1,2.7,1,3,1
180,111,2,0,23,1,2.7,1,1,1
181,119,2,0,17,1,2.6,1,1,1
182,120,2,0,9,1,3.8,1,1,1
183,110,2,0,14,1,3.0,1,1,1
184,121,2,0,13,1,3.4,1,4,1
185,122,2,0,17,1,2.9,1,1,1
186,118,2,0,5,1,3.6,1,1,1
187,123,2,0,5,1,2.9,1,4,3
188,124,2,0,23,1,3.4,1,1,1
189,125,2,0,20,1,2.5,1,1,1
190,126,2,0,20,1,3.8,1,4,2
191,127,2,0,15,1,2.6,1,1,1
192,94,2,0,20,1,3.0,1,1,1
193,128,2,0,9,1,2.8,1,4,2
194,129,2,0,17,1,1.9,1,3,1
195,130,1,0,11,1,3.2,4,1,1
196,35,2,0,13,1,2.0,1,2,1
197,131,2,0,15,1,2.9,1,1,1
198,132,2,0,20,1,2.6,1,1,1
199,133,2,0,15,1,3.5,1,1,1
200,134,2,0,16,1,1.8,1,1,1
201,135,2,0,20,1,2.9,1,1,1
202,50,2,0,13,1,2.2,1,4,1
203,120,1,0,7,1,3.6,1,4,1
204,114,2,0,7,1,3.7,1,4,1
205,58,1,0,11,1,2.7,1,3,1
206,58,2,0,9,1,3.5,1,4,2
207,114,2,0,27,1,3.4,1,1,1
208,114,2,0,8,1,2.5,1,1,1
209,67,2,0,15,1,2.0,1,1,1
210,136,2,0,9,1,2.7,1,4,1
211,137,2,0,11,1,2.1,1,1,1
212,105,2,0,26,1,2.7,1,1,1
213,105,2,0,27,1,2.3,1,1,1
214,129,2,0,8,1,2.3,1,1,1
215,138,1,0,15,1,3.0,2,1,1
216,139,1,0,2,1,2.6,1,1,1
217,124,2,0,23,1,3.5,1,3,1
218,112,2,0,31,1,3.1,1,4,1
219,106,2,0,9,1,2.3,1,4,1
220,140,2,0,17,1,2.6,1,1,1
221,141,2,0,7,1,2.5,1,4,1
222,60,2,0,9,1,2.8,1,3,1
223,142,2,0,23,1,3.1,1,3,1
224,121,2,0,4,1,2.7,1,1,1
225,139,1,0,8,1,3.3,1,4,2
226,112,2,0,23,1,2.6,1,4,1
227,143,2,0,34,1,3.7,1,4,1
228,144,2,0,35,1,2.7,1,3,1
229,109,2,0,23,1,3.5,1,1,1
230,91,2,0,15,1,1.8,1,1,1
231,110,2,0,33,1,2.6,1,4,1
232,145,2,0,23,1,2.6,1,1,1
233,144,2,0,16,1,2.4,1,1,1
234,144,2,0,27,1,2.1,1,1,1
235,144,2,0,2,1,2.3,1,1,1
236,124,2,0,3,1,2.3,1,1,1
237,145,2,0,19,1,1.8,1,2,1
238,93,2,0,13,1,3.3,1,4,2
239,97,2,0,15,1,3.1,1,3,1
240,91,2,0,4,1,2.4,1,1,1
241,59,2,0,20,1,2.8,1,3,1
242,108,2,0,23,1,3.3,1,2,1
243,146,2,0,15,1,2.3,1,1,1
244,147,2,0,20,1,3.4,2,1,1
245,88,1,0,8,1,2.5,1,3,1
246,38,2,0,18,1,3.1,1,1,1
247,48,1,0,23,1,2.4,1,1,1
248,148,2,0,11,1,3.5,1,1,1
249,149,2,0,4,1,2.2,1,1,1
250,121,2,0,9,1,2.7,1,4,2
251,121,2,0,16,1,1.7,1,1,1
252,97,2,0,20,1,2.7,1,1,1
253,150,2,0,24,1,3.7,1,4,3
254,124,2,0,9,1,3.5,1,3,1
255,56,1,0,16,1,2.5,1,1,1
256,151,2,0,7,1,3.9,1,4,2
257,110,2,0,11,1,2.7,1,1,1
258,51,2,0,4,1,2.5,1,3,1
259,49,2,0,4,1,2.5,1,1,1
260,152,2,0,20,1,2.4,1,1,1
261,153,2,0,9,1,3.4,1,4,2
262,66,2,0,20,1,2.2,1,1,1
263,85,2,0,8,1,2.6,1,1,1
264,127,2,0,15,1,2.7,1,1,1
265,129,2,0,2,1,2.2,1,3,1
266,31,2,0,11,1,1.5,1,1,1
267,146,2,0,3,1,2.0,1,3,1
268,154,2,0,23,1,2.6,1,4,2
269,71,2,0,15,1,1.8,1,1,1
270,108,2,0,27,1,2.1,1,1,1
271,155,2,0,3,1,2.5,1,1,1
272,144,2,0,13,1,3.6,1,1,1
273,156,1,0,15,1,3.0,1,4,1
274,157,1,0,27,1,2.5,1,1,1
275,157,2,0,16,1,3.6,1,1,1
276,21,2,0,20,1,2.6,1,1,1
277,158,1,1,2,1,3.6,8,1,1
278,159,2,0,13,1,3.5,1,4,1
279,21,2,0,23,1,2.8,1,1,1
280,160,1,1,16,1,2.6,6,1,1
281,146,2,0,3,1,1.5,1,1,1
282,161,2,0,14,1,2.5,1,4,1
283,62,2,0,4,1,2.2,1,4,1
284,8,2,0,11,1,2.0,1,1,1
285,162,2,0,16,1,3.2,1,1,1
286,163,2,0,15,1,2.9,1,1,1
287,164,2,0,5,1,2.8,1,4,2
288,162,2,0,22,1,2.3,1,1,1
289,165,2,0,20,1,3.6,1,1,1
290,166,2,0,20,1,3.0,1,2,1
291,167,2,0,8,1,2.8,1,1,1
292,168,2,0,20,1,3.8,1,4,2
293,169,1,0,27,1,2.7,1,2,1
294,170,2,0,9,1,3.3,1,4,2
295,171,2,0,13,1,3.3,1,3,1
296,172,1,0,11,1,3.6,3,1,1
297,173,1,0,35,1,3.7,4,1,1
298,174,2,0,18,1,3.5,1,1,1
299,175,1,0,15,1,3.0,1,1,1
300,175,2,0,7,1,3.9,1,4,3
301,176,1,0,11,1,3.7,1,4,2
302,8,2,0,15,1,2.6,1,1,1
303,177,2,0,13,1,3.1,1,4,3
304,162,2,0,8,1,2.6,1,1,1
305,178,1,0,27,1,2.7,2,1,1
306,178,1,0,29,1,2.9,1,1,1
307,178,1,0,10,1,3.0,1,4,2
308,17,2,0,13,1,3.8,1,4,1
309,17,1,0,35,2,2.6,1,1,1
310,17,2,0,20,1,3.4,1,1,1
311,179,2,0,6,1,3.0,1,1,1
312,163,2,0,17,1,3.5,2,1,1
313,174,2,0,18,1,3.5,1,1,1
314,180,1,1,15,1,3.6,6,4,1
315,43,2,0,15,1,2.3,1,3,1
316,181,2,0,8,1,3.5,1,1,1
317,181,2,0,15,1,2.7,1,3,1
318,181,2,0,23,1,3.5,1,3,1
319,164,1,0,23,1,3.8,1,3,1
320,182,2,0,13,1,2.9,1,4,1
321,183,1,1,11,1,3.5,6,1,1
322,177,2,0,11,1,3.1,1,1,1
323,165,2,0,8,1,2.9,1,1,1
324,175,2,0,5,1,3.5,1,4,1
325,184,1,1,16,1,3.8,5,1,1
326,185,2,0,8,1,2.9,1,1,1
327,6,1,0,3,1,2.6,1,3,1
328,71,2,0,29,1,3.1,1,1,1
329,49,2,0,23,1,2.5,1,1,1
330,182,2,0,8,1,3.2,1,1,1
331,186,2,0,23,1,3.3,1,3,1
332,186,2,0,15,1,2.4,1,1,1
333,187,2,0,23,1,3.4,1,4,2
334,12,2,0,16,1,2.6,1,1,1
335,188,2,0,20,1,3.4,1,1,1
336,164,2,0,23,1,3.0,1,1,1
337,189,1,0,35,1,3.8,5,4,1
338,190,2,0,23,1,2.4,1,1,1
339,179,2,0,29,1,3.0,1,1,1
340,188,2,0,7,1,2.9,1,4,2
341,51,2,0,27,1,2.2,1,1,1
342,10,2,0,2,1,2.1,1,1,1
343,10,2,0,20,1,3.4,1,4,2
344,164,1,0,15,1,2.8,1,1,1
345,166,2,0,15,1,2.3,1,1,1
346,164,1,0,16,1,3.1,1,1,1
347,190,2,0,11,1,3.0,1,1,1
348,87,2,0,8,1,2.1,1,1,1
349,191,2,0,7,1,3.7,1,4,1
350,192,2,0,24,1,3.7,1,4,1
351,155,2,0,29,1,2.5,1,1,1
352,148,2,0,17,1,2.7,1,1,1
353,148,2,0,36,1,3.5,1,3,1
354,192,2,0,23,1,2.9,1,1,1
355,192,2,0,15,1,3.0,1,1,1
356,192,2,0,18,1,2.6,1,1,1
357,155,2,0,20,1,3.0,1,1,1
358,193,2,0,12,1,3.4,1,1,1
359,194,2,0,7,1,3.9,1,4,1
360,195,2,0,18,1,3.5,1,1,1
361,195,2,0,13,1,3.8,1,1,1
362,196,2,0,17,1,2.7,1,3,1
363,197,2,0,20,1,3.7,1,4,2
364,196,2,0,23,1,2.7,1,4,2
365,198,2,0,17,1,3.4,1,2,1
366,199,2,0,23,1,3.4,1,3,1
367,16,2,0,16,1,2.5,1,1,1
368,16,2,0,11,1,3.0,1,1,1
369,200,2,1,18,1,3.0,1,4,1
370,201,1,0,16,1,3.2,1,1,1
371,202,1,0,11,1,3.6,1,1,1
372,203,2,0,8,1,3.6,1,1,1
373,203,2,0,23,1,3.7,1,1,1
374,202,1,0,15,1,3.6,1,2,1
375,191,2,0,3,1,2.6,3,1,1
376,204,1,0,22,1,2.5,1,1,1
377,198,2,0,8,1,2.2,1,1,1
378,205,2,0,7,1,3.4,1,3,1
379,206,2,0,8,1,3.1,1,1,1
380,206,2,0,35,1,2.6,1,3,1
381,207,1,1,3,1,3.5,12,1,1
382,208,2,0,23,1,3.3,1,1,1
383,209,2,0,23,1,3.0,1,1,1
384,208,2,0,15,1,2.6,1,1,1
385,210,1,0,15,1,2.7,1,1,1
386,136,2,0,8,1,2.8,1,1,1
387,211,2,0,20,1,3.3,1,1,1
388,212,2,0,9,1,3.5,1,1,1
389,212,2,0,7,1,3.8,1,3,1
390,213,2,0,28,1,3.7,1,1,1
391,208,2,0,17,1,2.8,1,1,1
392,205,2,0,23,1,2.7,1,1,1
393,214,1,0,16,1,3.2,1,1,1
