RouteID,Route,Date,Route Type,Alpine,Rating,Safety,Avg Stars,Pitches,Lead Style,Attempts
121641160,Grammy Phil,2019-04-21,Sport,0,5.12a,G,2.0,1,Onsight/Flash,1
121641269,Saliente,2019-04-19,Sport,0,5.10d,G,2.0,1,Onsight/Flash,1
121641323,"Maple, Eh",2018-10-20,Sport,0,5.11a,G,2.9,1,Onsight/Flash,1
121641359,Three Heavy,2019-04-19,Sport,0,5.11d,G,0.5,1,Fell/Hung,1
121641374,Threedom Wheat,2019-04-19,Sport,0,5.10b,G,1.0,1,Onsight/Flash,1
121641831,Black Copter,2019-04-19,Sport,0,5.10b,G,1.7,1,Onsight/Flash,1
121641838,d' Amber,2020-11-26,Sport,0,5.10d,G,2.2,1,Fell/Hung,1
121641893,Bernie the Axe,2018-11-19,Sport,0,5.9+,G,1.4,1,Onsight/Flash,1
121641907,Black Yak,2018-11-19,Sport,0,5.10d,G,3.0,1,Onsight/Flash,1
121796659,China Pockets,2024-07-05,Sport,0,5.10b,G,2.3,1,Onsight/Flash,1
121821220,Pandemic,2023-01-02,Sport,0,5.11-,G,2.5,1,Fell/Hung,1
123762540,R.I.P.D.S.W.B.,2024-07-05,Sport,0,5.8,G,1.0,1,Onsight/Flash,1
126239812,The Mussy Hooker,2024-09-21,Sport,0,5.8,G,2.5,1,Onsight/Flash,1
126571538,Lucky Lettuce,2024-12-23,Sport,0,5.9,G,2.3,1,Onsight/Flash,1
